,sequences,sequence_tok
4110,"According to experts , a further outbreak of cases related to this variant is highly likely in the coming weeks , while the vaccination rate is still too low to achieve herd immunity .","['According', 'to', 'experts', ',', 'a', 'further', 'outbreak', 'of', 'cases', 'related', 'to', 'this', 'variant', 'is', 'highly', 'likely', 'in', 'the', 'coming', 'weeks', ',', 'while', 'the', 'vaccination', 'rate', 'is', 'still', 'too', 'low', 'to', 'achieve', 'herd', 'immunity', '.']"
4111,Who's the fastest ?,"[""Who's"", 'the', 'fastest', '?']"
4112,"On Thursday , President Emmanuel Macron spoke of an impending lifting of the health care pass obligation in some French territories where the coronavirus is almost no longer circulating .","['On', 'Thursday', ',', 'President', 'Emmanuel', 'Macron', 'spoke', 'of', 'an', 'impending', 'lifting', 'of', 'the', 'health', 'care', 'pass', 'obligation', 'in', 'some', 'French', 'territories', 'where', 'the', 'coronavirus', 'is', 'almost', 'no', 'longer', 'circulating', '.']"
4113,"Second , misclassification might occur since a confirmatory test for AFM is not available .","['Second', ',', 'misclassification', 'might', 'occur', 'since', 'a', 'confirmatory', 'test', 'for', 'AFM', 'is', 'not', 'available', '.']"
4114,The information was delivered on 3 September 2021 by the UN mission in the DRC in its current affairs report .,"['The', 'information', 'was', 'delivered', 'on', '3', 'September', '2021', 'by', 'the', 'UN', 'mission', 'in', 'the', 'DRC', 'in', 'its', 'current', 'affairs', 'report', '.']"
4115,The number of patients in critical care departments is almost 000 patients .,"['The', 'number', 'of', 'patients', 'in', 'critical', 'care', 'departments', 'is', 'almost', '000', 'patients', '.']"
4116,"It has spread to humans who have consumed fruits , such as mangoes , that have been eaten by creatures .","['It', 'has', 'spread', 'to', 'humans', 'who', 'have', 'consumed', 'fruits', ',', 'such', 'as', 'mangoes', ',', 'that', 'have', 'been', 'eaten', 'by', 'creatures', '.']"
4117,"According to the Global Times , preliminary studies have shown that the virus infected in these confirmed cases is a Delta variant .","['According', 'to', 'the', 'Global', 'Times', ',', 'preliminary', 'studies', 'have', 'shown', 'that', 'the', 'virus', 'infected', 'in', 'these', 'confirmed', 'cases', 'is', 'a', 'Delta', 'variant', '.']"
4118,How to reduce the spread of norovirus : Stay at home if you are experiencing norovirus symptoms .,"['How', 'to', 'reduce', 'the', 'spread', 'of', 'norovirus', ':', 'Stay', 'at', 'home', 'if', 'you', 'are', 'experiencing', 'norovirus', 'symptoms', '.']"
4119,The latest assessment provided by the Ministry of Health shows 501.649 infections since the onset of Covid-19 in early 2020 . The number of cases since the fourth wave of infection on April 27 was 497.391 .,"['The', 'latest', 'assessment', 'provided', 'by', 'the', 'Ministry', 'of', 'Health', 'shows', '501.649', 'infections', 'since', 'the', 'onset', 'of', 'Covid-19', 'in', 'early', '2020', '.', 'The', 'number', 'of', 'cases', 'since', 'the', 'fourth', 'wave', 'of', 'infection', 'on', 'April', '27', 'was', '497.391', '.']"
4120,"The other provinces that adjusted their figures on Friday were Manitoba ( 105 cases and 1 death ) , New Brunswick ( 24 cases ) , Newfoundland and Labrador ( 12 cases ) , Nova Scotia ( 11 cases ) and Prince Edward Island ( 4 cases ) .","['The', 'other', 'provinces', 'that', 'adjusted', 'their', 'figures', 'on', 'Friday', 'were', 'Manitoba', '(', '105', 'cases', 'and', '1', 'death', ')', ',', 'New', 'Brunswick', '(', '24', 'cases', ')', ',', 'Newfoundland', 'and', 'Labrador', '(', '12', 'cases', ')', ',', 'Nova', 'Scotia', '(', '11', 'cases', ')', 'and', 'Prince', 'Edward', 'Island', '(', '4', 'cases', ')', '.']"
4121,Summary What is already known about this topic ?,"['Summary', 'What', 'is', 'already', 'known', 'about', 'this', 'topic', '?']"
4122,"Prior to the start of the Olympics in July , the Brazilian judo delegation also acclimated to a hotel in Hamamatsu , where several employees tested positive for Covid-19 .","['Prior', 'to', 'the', 'start', 'of', 'the', 'Olympics', 'in', 'July', ',', 'the', 'Brazilian', 'judo', 'delegation', 'also', 'acclimated', 'to', 'a', 'hotel', 'in', 'Hamamatsu', ',', 'where', 'several', 'employees', 'tested', 'positive', 'for', 'Covid-19', '.']"
4123,"That he reports to health centers . A monitoring system is put in place , its temperature is taken regularly , it is called to make a diagnosis of the possible symptoms of the disease and their manifestations .","['That', 'he', 'reports', 'to', 'health', 'centers', '.', 'A', 'monitoring', 'system', 'is', 'put', 'in', 'place', ',', 'its', 'temperature', 'is', 'taken', 'regularly', ',', 'it', 'is', 'called', 'to', 'make', 'a', 'diagnosis', 'of', 'the', 'possible', 'symptoms', 'of', 'the', 'disease', 'and', 'their', 'manifestations', '.']"
4124,"Along with Liberia and Sierra Leone , Guinea was hit hard from 2013 to 2016 by an Ebola outbreak that killed thousands .","['Along', 'with', 'Liberia', 'and', 'Sierra', 'Leone', ',', 'Guinea', 'was', 'hit', 'hard', 'from', '2013', 'to', '2016', 'by', 'an', 'Ebola', 'outbreak', 'that', 'killed', 'thousands', '.']"
4125,"Read all the latest news , news and news about Afghanistan here all news on the site does not express the point of view of the site , but we transmit this news automatically and translate it through programmatic technology on the site , not from a human publisher .","['Read', 'all', 'the', 'latest', 'news', ',', 'news', 'and', 'news', 'about', 'Afghanistan', 'here', 'all', 'news', 'on', 'the', 'site', 'does', 'not', 'express', 'the', 'point', 'of', 'view', 'of', 'the', 'site', ',', 'but', 'we', 'transmit', 'this', 'news', 'automatically', 'and', 'translate', 'it', 'through', 'programmatic', 'technology', 'on', 'the', 'site', ',', 'not', 'from', 'a', 'human', 'publisher', '.']"
4126,Ebola control systems in Guinea and neighboring countries are essential to the emergency response to the Marburg virus .,"['Ebola', 'control', 'systems', 'in', 'Guinea', 'and', 'neighboring', 'countries', 'are', 'essential', 'to', 'the', 'emergency', 'response', 'to', 'the', 'Marburg', 'virus', '.']"
4127,"In France , 852 cases have been reported since 1 January 2019 and 64 have led to complications of lung disease , including one death , according to Public Health France .","['In', 'France', ',', '852', 'cases', 'have', 'been', 'reported', 'since', '1', 'January', '2019', 'and', '64', 'have', 'led', 'to', 'complications', 'of', 'lung', 'disease', ',', 'including', 'one', 'death', ',', 'according', 'to', 'Public', 'Health', 'France', '.']"
4128,"The leading American infectious disease expert , Anthony S . Fauci , said in an interview on Sunday that the US is headed in the "" wrong direction "" as coronavirus cases increase among unvaccinated people .","['The', 'leading', 'American', 'infectious', 'disease', 'expert', ',', 'Anthony', 'S', '.', 'Fauci', ',', 'said', 'in', 'an', 'interview', 'on', 'Sunday', 'that', 'the', 'US', 'is', 'headed', 'in', 'the', '""', 'wrong', 'direction', '""', 'as', 'coronavirus', 'cases', 'increase', 'among', 'unvaccinated', 'people', '.']"
4129,"The owner of Mediaset also spread coronavirus in September 2020 and was admitted with bilateral pneumonia , although he was discharged two days later .","['The', 'owner', 'of', 'Mediaset', 'also', 'spread', 'coronavirus', 'in', 'September', '2020', 'and', 'was', 'admitted', 'with', 'bilateral', 'pneumonia', ',', 'although', 'he', 'was', 'discharged', 'two', 'days', 'later', '.']"
4130,Vaccination helps to limit the pressure on our hospitals .,"['Vaccination', 'helps', 'to', 'limit', 'the', 'pressure', 'on', 'our', 'hospitals', '.']"
4131,"The hospital has also established work with the Republican Bacteriological Laboratory in Sukhum , where doctors assist in determining the strains and varieties of a new coronavirus infection .","['The', 'hospital', 'has', 'also', 'established', 'work', 'with', 'the', 'Republican', 'Bacteriological', 'Laboratory', 'in', 'Sukhum', ',', 'where', 'doctors', 'assist', 'in', 'determining', 'the', 'strains', 'and', 'varieties', 'of', 'a', 'new', 'coronavirus', 'infection', '.']"
4132,"The leading health agency in the United States has not recommended all travel to France , but has invited anyone who needs to go to France to be fully vaccinated before traveling .","['The', 'leading', 'health', 'agency', 'in', 'the', 'United', 'States', 'has', 'not', 'recommended', 'all', 'travel', 'to', 'France', ',', 'but', 'has', 'invited', 'anyone', 'who', 'needs', 'to', 'go', 'to', 'France', 'to', 'be', 'fully', 'vaccinated', 'before', 'traveling', '.']"
4133,"Indeed , their return to school was two weeks late , due to the Covid-19 epidemic .","['Indeed', ',', 'their', 'return', 'to', 'school', 'was', 'two', 'weeks', 'late', ',', 'due', 'to', 'the', 'Covid-19', 'epidemic', '.']"
4134,"In critical care services ( continuous monitoring , intensive care and resuscitation ) , 2 276 patients are hospitalized due to coronavirus infection .","['In', 'critical', 'care', 'services', '(', 'continuous', 'monitoring', ',', 'intensive', 'care', 'and', 'resuscitation', ')', ',', '2', '276', 'patients', 'are', 'hospitalized', 'due', 'to', 'coronavirus', 'infection', '.']"
4135,"Delta variant reported in 180 countries under these conditions , the largest number of new infections were reported by the United States ( 1.034.836 new cases ; decrease by 20 % ) .","['Delta', 'variant', 'reported', 'in', '180', 'countries', 'under', 'these', 'conditions', ',', 'the', 'largest', 'number', 'of', 'new', 'infections', 'were', 'reported', 'by', 'the', 'United', 'States', '(', '1.034.836', 'new', 'cases', ';', 'decrease', 'by', '20', '%', ')', '.']"
4136,"The number of deaths due to the virus in Turkey increased by 221 to 61.361 , while 24.023 additional people recovered in the last 24 hours . A total of 335.244 tests were conducted over the past day , according to the department .","['The', 'number', 'of', 'deaths', 'due', 'to', 'the', 'virus', 'in', 'Turkey', 'increased', 'by', '221', 'to', '61.361', ',', 'while', '24.023', 'additional', 'people', 'recovered', 'in', 'the', 'last', '24', 'hours', '.', 'A', 'total', 'of', '335.244', 'tests', 'were', 'conducted', 'over', 'the', 'past', 'day', ',', 'according', 'to', 'the', 'department', '.']"
4137,"The circulation of the virus is still very active in the region and also in Charente with a 27 % increase in one week , indicates the ARS New Aquitaine With an incidence rate of 140 cases / 100 000 inhabitants ( as of August 19 ) , the Charente sees its positive number in Covid-19 rise .","['The', 'circulation', 'of', 'the', 'virus', 'is', 'still', 'very', 'active', 'in', 'the', 'region', 'and', 'also', 'in', 'Charente', 'with', 'a', '27', '%', 'increase', 'in', 'one', 'week', ',', 'indicates', 'the', 'ARS', 'New', 'Aquitaine', 'With', 'an', 'incidence', 'rate', 'of', '140', 'cases', '/', '100', '000', 'inhabitants', '(', 'as', 'of', 'August', '19', ')', ',', 'the', 'Charente', 'sees', 'its', 'positive', 'number', 'in', 'Covid-19', 'rise', '.']"
4138,"In Sarthe , from 33,2 to 35,9 .","['In', 'Sarthe', ',', 'from', '33,2', 'to', '35,9', '.']"
4139,Myanmar detected its first cases of COVID-19 on March 23 of last year .,"['Myanmar', 'detected', 'its', 'first', 'cases', 'of', 'COVID-19', 'on', 'March', '23', 'of', 'last', 'year', '.']"
4140,Ponds have also been recovered in the national park and trout introduced at the head of the Arazas river have been removed to prevent fish from eating the larvae of the few frogs .,"['Ponds', 'have', 'also', 'been', 'recovered', 'in', 'the', 'national', 'park', 'and', 'trout', 'introduced', 'at', 'the', 'head', 'of', 'the', 'Arazas', 'river', 'have', 'been', 'removed', 'to', 'prevent', 'fish', 'from', 'eating', 'the', 'larvae', 'of', 'the', 'few', 'frogs', '.']"
4141,"The strict restrictions imposed on the country , which has some 5 million inhabitants , will be reviewed by the Prime Minister on Monday .","['The', 'strict', 'restrictions', 'imposed', 'on', 'the', 'country', ',', 'which', 'has', 'some', '5', 'million', 'inhabitants', ',', 'will', 'be', 'reviewed', 'by', 'the', 'Prime', 'Minister', 'on', 'Monday', '.']"
4142,"The moratorium had been put in place to prevent the spread of COVID-19 by people on the street or in community shelters . BY the end of March , 6,4 million American households were late in paying their rent , according to the Ministry of Housing and Urban Development .","['The', 'moratorium', 'had', 'been', 'put', 'in', 'place', 'to', 'prevent', 'the', 'spread', 'of', 'COVID-19', 'by', 'people', 'on', 'the', 'street', 'or', 'in', 'community', 'shelters', '.', 'BY', 'the', 'end', 'of', 'March', ',', '6,4', 'million', 'American', 'households', 'were', 'late', 'in', 'paying', 'their', 'rent', ',', 'according', 'to', 'the', 'Ministry', 'of', 'Housing', 'and', 'Urban', 'Development', '.']"
4143,"When it comes to political communication , Vladimir Putin has often played the human card in nature , as if to make better forget his apparatchik past .","['When', 'it', 'comes', 'to', 'political', 'communication', ',', 'Vladimir', 'Putin', 'has', 'often', 'played', 'the', 'human', 'card', 'in', 'nature', ',', 'as', 'if', 'to', 'make', 'better', 'forget', 'his', 'apparatchik', 'past', '.']"
4144,The Hanoi authorities and distributors have thus had to implement many solutions to remedy this situation .,"['The', 'Hanoi', 'authorities', 'and', 'distributors', 'have', 'thus', 'had', 'to', 'implement', 'many', 'solutions', 'to', 'remedy', 'this', 'situation', '.']"
4145,Subscribe to our newsletter and receive every Saturday all the essential news of the week ! .,"['Subscribe', 'to', 'our', 'newsletter', 'and', 'receive', 'every', 'Saturday', 'all', 'the', 'essential', 'news', 'of', 'the', 'week', '!', '.']"
4146,Enjoy unlimited access to all the world's content Support investigative journalism and independent writing Check the digital log every day before 1 p . m .,"['Enjoy', 'unlimited', 'access', 'to', 'all', 'the', ""world's"", 'content', 'Support', 'investigative', 'journalism', 'and', 'independent', 'writing', 'Check', 'the', 'digital', 'log', 'every', 'day', 'before', '1', 'p', '.', 'm', '.']"
4147,"This week , the vaccination campaign was extended to people between the ages of 18 and 29 . INEGI ( Instituto Nacional de Estatistica y Geografia ) is an official institution of the Mexican government which was established in 1983 by presidential decree .","['This', 'week', ',', 'the', 'vaccination', 'campaign', 'was', 'extended', 'to', 'people', 'between', 'the', 'ages', 'of', '18', 'and', '29', '.', 'INEGI', '(', 'Instituto', 'Nacional', 'de', 'Estatistica', 'y', 'Geografia', ')', 'is', 'an', 'official', 'institution', 'of', 'the', 'Mexican', 'government', 'which', 'was', 'established', 'in', '1983', 'by', 'presidential', 'decree', '.']"
4148,""" Last Monday , Emmanuel Macron announced that in departments that would exceed an incidence rate of 200 and see their hospitalization increase , we can stop our prefects .","['""', 'Last', 'Monday', ',', 'Emmanuel', 'Macron', 'announced', 'that', 'in', 'departments', 'that', 'would', 'exceed', 'an', 'incidence', 'rate', 'of', '200', 'and', 'see', 'their', 'hospitalization', 'increase', ',', 'we', 'can', 'stop', 'our', 'prefects', '.']"
4149,"He added that children and staff in the year groups do not need to isolate unless they also test positive , but requests parents keep an eye out for symptoms in their children .","['He', 'added', 'that', 'children', 'and', 'staff', 'in', 'the', 'year', 'groups', 'do', 'not', 'need', 'to', 'isolate', 'unless', 'they', 'also', 'test', 'positive', ',', 'but', 'requests', 'parents', 'keep', 'an', 'eye', 'out', 'for', 'symptoms', 'in', 'their', 'children', '.']"
4150,Results from non - CDC laboratories are not included in this update .,"['Results', 'from', 'non', '-', 'CDC', 'laboratories', 'are', 'not', 'included', 'in', 'this', 'update', '.']"
4151,"To Require All Teachers To Be Vaccinated Or Undergo COVID Testing Although invitations have just been mailed out , nominated teams of three or more will now be limited to no more than four tickets per nomination , a statement from the Academy and CBS said .","['To', 'Require', 'All', 'Teachers', 'To', 'Be', 'Vaccinated', 'Or', 'Undergo', 'COVID', 'Testing', 'Although', 'invitations', 'have', 'just', 'been', 'mailed', 'out', ',', 'nominated', 'teams', 'of', 'three', 'or', 'more', 'will', 'now', 'be', 'limited', 'to', 'no', 'more', 'than', 'four', 'tickets', 'per', 'nomination', ',', 'a', 'statement', 'from', 'the', 'Academy', 'and', 'CBS', 'said', '.']"
4152,So it was a matter of deploying additional hospitalization capabilities .,"['So', 'it', 'was', 'a', 'matter', 'of', 'deploying', 'additional', 'hospitalization', 'capabilities', '.']"
4153,Playback 2 min .,"['Playback', '2', 'min', '.']"
4154,"In recent weeks , notable conservative commentators Erick Erickson and [ ] more .","['In', 'recent', 'weeks', ',', 'notable', 'conservative', 'commentators', 'Erick', 'Erickson', 'and', '[', ']', 'more', '.']"
4155,The number of people reported positive is the number of people who have a positive test for the first time or more than 60 days after a previous positive test to account for reinfections .,"['The', 'number', 'of', 'people', 'reported', 'positive', 'is', 'the', 'number', 'of', 'people', 'who', 'have', 'a', 'positive', 'test', 'for', 'the', 'first', 'time', 'or', 'more', 'than', '60', 'days', 'after', 'a', 'previous', 'positive', 'test', 'to', 'account', 'for', 'reinfections', '.']"
4156,"Deaths : Between 11/09 and 17/09 , an average of 5,7 people died per day as a result of the virus .","['Deaths', ':', 'Between', '11/09', 'and', '17/09', ',', 'an', 'average', 'of', '5,7', 'people', 'died', 'per', 'day', 'as', 'a', 'result', 'of', 'the', 'virus', '.']"
4157,"These measures , according to the edifil , aim above all at avoiding rotten closures .","['These', 'measures', ',', 'according', 'to', 'the', 'edifil', ',', 'aim', 'above', 'all', 'at', 'avoiding', 'rotten', 'closures', '.']"
4158,Below are some foods that must be cooked thoroughly before consuming : Potatoes : Eating uncooked potatoes can cause bloating and other gastrointestinal problems because they contain starches that resist digestion .,"['Below', 'are', 'some', 'foods', 'that', 'must', 'be', 'cooked', 'thoroughly', 'before', 'consuming', ':', 'Potatoes', ':', 'Eating', 'uncooked', 'potatoes', 'can', 'cause', 'bloating', 'and', 'other', 'gastrointestinal', 'problems', 'because', 'they', 'contain', 'starches', 'that', 'resist', 'digestion', '.']"
4159,"Between July 17 and July 23 , there was an average of 26,6 hospital admissions per day for coronavirus , an increase of 25 % over the previous reference period . A total of 273 people are still hospitalized because of Covid-19 , including 84 patients treated in intensive care .","['Between', 'July', '17', 'and', 'July', '23', ',', 'there', 'was', 'an', 'average', 'of', '26,6', 'hospital', 'admissions', 'per', 'day', 'for', 'coronavirus', ',', 'an', 'increase', 'of', '25', '%', 'over', 'the', 'previous', 'reference', 'period', '.', 'A', 'total', 'of', '273', 'people', 'are', 'still', 'hospitalized', 'because', 'of', 'Covid-19', ',', 'including', '84', 'patients', 'treated', 'in', 'intensive', 'care', '.']"
4160,"This outbreak reappeared in West Africa in January 2021 , notably in Senegal , Mauritania , Mali , Togo and Ghana . AP / ls / APA .","['This', 'outbreak', 'reappeared', 'in', 'West', 'Africa', 'in', 'January', '2021', ',', 'notably', 'in', 'Senegal', ',', 'Mauritania', ',', 'Mali', ',', 'Togo', 'and', 'Ghana', '.', 'AP', '/', 'ls', '/', 'APA', '.']"
4161,Note that the very low number of people tested does not statistically make a representative estimate of active Covid-19 cases in Haiti .,"['Note', 'that', 'the', 'very', 'low', 'number', 'of', 'people', 'tested', 'does', 'not', 'statistically', 'make', 'a', 'representative', 'estimate', 'of', 'active', 'Covid-19', 'cases', 'in', 'Haiti', '.']"
4162,"According to the Ministry of Pharmaceutical Industry , Algeria should start producing the Chinese Sinovac vaccine locally .","['According', 'to', 'the', 'Ministry', 'of', 'Pharmaceutical', 'Industry', ',', 'Algeria', 'should', 'start', 'producing', 'the', 'Chinese', 'Sinovac', 'vaccine', 'locally', '.']"
4163,These measures came into force on Tuesday .,"['These', 'measures', 'came', 'into', 'force', 'on', 'Tuesday', '.']"
4164,"Based on results received to date , the following pathogens have not been detected in any of the birds tested : salmonella and chlamydia ; avian influenza virus , West Nile virus , coronaviruses , Newcastle disease virus , herpesviruses , and poxviruses ; and Trichomonas parasites .","['Based', 'on', 'results', 'received', 'to', 'date', ',', 'the', 'following', 'pathogens', 'have', 'not', 'been', 'detected', 'in', 'any', 'of', 'the', 'birds', 'tested', ':', 'salmonella', 'and', 'chlamydia', ';', 'avian', 'influenza', 'virus', ',', 'West', 'Nile', 'virus', ',', 'coronaviruses', ',', 'Newcastle', 'disease', 'virus', ',', 'herpesviruses', ',', 'and', 'poxviruses', ';', 'and', 'Trichomonas', 'parasites', '.']"
4165,", cerebrospinal fluid [ CSF ] and serum ) and nonsterile specimens ( i . e .","[',', 'cerebrospinal', 'fluid', '[', 'CSF', ']', 'and', 'serum', ')', 'and', 'nonsterile', 'specimens', '(', 'i', '.', 'e', '.']"
4166,We are now in crisis mode .,"['We', 'are', 'now', 'in', 'crisis', 'mode', '.']"
4167,The national level of the response is awaiting the updating of data from several provincial health divisions ( SDAs ) for harmonization .,"['The', 'national', 'level', 'of', 'the', 'response', 'is', 'awaiting', 'the', 'updating', 'of', 'data', 'from', 'several', 'provincial', 'health', 'divisions', '(', 'SDAs', ')', 'for', 'harmonization', '.']"
4168,"Of these , 220 people have entered the hospital in the last 24 hours.The number of people in intensive care was also down slightly this Friday .","['Of', 'these', ',', '220', 'people', 'have', 'entered', 'the', 'hospital', 'in', 'the', 'last', '24', 'hours.The', 'number', 'of', 'people', 'in', 'intensive', 'care', 'was', 'also', 'down', 'slightly', 'this', 'Friday', '.']"
4169,"By the end of August 2021 , the government and the Ministry of Health would continue to give the southern megacity the highest priority in terms of vaccine to help it overcome the epidemic , he said .","['By', 'the', 'end', 'of', 'August', '2021', ',', 'the', 'government', 'and', 'the', 'Ministry', 'of', 'Health', 'would', 'continue', 'to', 'give', 'the', 'southern', 'megacity', 'the', 'highest', 'priority', 'in', 'terms', 'of', 'vaccine', 'to', 'help', 'it', 'overcome', 'the', 'epidemic', ',', 'he', 'said', '.']"
4170,"On Tuesday , more than 8 700 new patients were registered by the health authorities , the highest figure since January .","['On', 'Tuesday', ',', 'more', 'than', '8', '700', 'new', 'patients', 'were', 'registered', 'by', 'the', 'health', 'authorities', ',', 'the', 'highest', 'figure', 'since', 'January', '.']"
4171,"Rely on facts and arguments , not invective .","['Rely', 'on', 'facts', 'and', 'arguments', ',', 'not', 'invective', '.']"
4172,"As a result , residents are no longer permitted to leave work unless they have a derogation .","['As', 'a', 'result', ',', 'residents', 'are', 'no', 'longer', 'permitted', 'to', 'leave', 'work', 'unless', 'they', 'have', 'a', 'derogation', '.']"
4173,""" Back - to - School convenience Stores "" will reopen when "" the health situation has improved "" .","['""', 'Back', '-', 'to', '-', 'School', 'convenience', 'Stores', '""', 'will', 'reopen', 'when', '""', 'the', 'health', 'situation', 'has', 'improved', '""', '.']"
4174,"Students who wish to do so will , however , be able to visit the campus for a good Internet connection .","['Students', 'who', 'wish', 'to', 'do', 'so', 'will', ',', 'however', ',', 'be', 'able', 'to', 'visit', 'the', 'campus', 'for', 'a', 'good', 'Internet', 'connection', '.']"
4175,"Older audio enthusiasts clung firmly to their Killer cuts CDs , dedicated collectors cried out the three - digit price of rare Japanese CD packs containing most , but never [ ] more .","['Older', 'audio', 'enthusiasts', 'clung', 'firmly', 'to', 'their', 'Killer', 'cuts', 'CDs', ',', 'dedicated', 'collectors', 'cried', 'out', 'the', 'three', '-', 'digit', 'price', 'of', 'rare', 'Japanese', 'CD', 'packs', 'containing', 'most', ',', 'but', 'never', '[', ']', 'more', '.']"
4176,The hospital confederation quickly replied that such a measure was not necessary because the majority of caregivers were already vaccinated .,"['The', 'hospital', 'confederation', 'quickly', 'replied', 'that', 'such', 'a', 'measure', 'was', 'not', 'necessary', 'because', 'the', 'majority', 'of', 'caregivers', 'were', 'already', 'vaccinated', '.']"
4177,Playing world on another device .,"['Playing', 'world', 'on', 'another', 'device', '.']"
4178,Gatherings of more than 10 people are prohibited .,"['Gatherings', 'of', 'more', 'than', '10', 'people', 'are', 'prohibited', '.']"
4179,Russia : Nine deaths in a Covid-19 hospital service .,"['Russia', ':', 'Nine', 'deaths', 'in', 'a', 'Covid-19', 'hospital', 'service', '.']"
4180,49 cases arise from community transmission .,"['49', 'cases', 'arise', 'from', 'community', 'transmission', '.']"
4181,"It also highlights the need for measures such as proper wearing of the mask as part of the outbreak of the highly contagious Delta variant . THE teacher in question , who is not known whether he is a man or a woman , continued to work in May 2021 for two days after starting to experience symptoms , initially believing that he was suffering from allergies .","['It', 'also', 'highlights', 'the', 'need', 'for', 'measures', 'such', 'as', 'proper', 'wearing', 'of', 'the', 'mask', 'as', 'part', 'of', 'the', 'outbreak', 'of', 'the', 'highly', 'contagious', 'Delta', 'variant', '.', 'THE', 'teacher', 'in', 'question', ',', 'who', 'is', 'not', 'known', 'whether', 'he', 'is', 'a', 'man', 'or', 'a', 'woman', ',', 'continued', 'to', 'work', 'in', 'May', '2021', 'for', 'two', 'days', 'after', 'starting', 'to', 'experience', 'symptoms', ',', 'initially', 'believing', 'that', 'he', 'was', 'suffering', 'from', 'allergies', '.']"
4182,"According to the Ministry of Health , the Islamic Republic has registered 39.357 new cases of contamination in the last 24 hours , bringing the total number of infected persons to 4.019.084 .","['According', 'to', 'the', 'Ministry', 'of', 'Health', ',', 'the', 'Islamic', 'Republic', 'has', 'registered', '39.357', 'new', 'cases', 'of', 'contamination', 'in', 'the', 'last', '24', 'hours', ',', 'bringing', 'the', 'total', 'number', 'of', 'infected', 'persons', 'to', '4.019.084', '.']"
4183,"But it is becoming more serious , explains Ophelia Heu , a French teacher .","['But', 'it', 'is', 'becoming', 'more', 'serious', ',', 'explains', 'Ophelia', 'Heu', ',', 'a', 'French', 'teacher', '.']"
4184,"And that relieves us of leaving , Willy said ( who did not wish to give his name ) , a Parisian trentenarian who has been staying with his father since early July with his three children .","['And', 'that', 'relieves', 'us', 'of', 'leaving', ',', 'Willy', 'said', '(', 'who', 'did', 'not', 'wish', 'to', 'give', 'his', 'name', ')', ',', 'a', 'Parisian', 'trentenarian', 'who', 'has', 'been', 'staying', 'with', 'his', 'father', 'since', 'early', 'July', 'with', 'his', 'three', 'children', '.']"
4185,"In the Department of the West Indies , the government spokesman described a very difficult situation , in which we deployed the military health service to provide the best possible care for patients in hospital .","['In', 'the', 'Department', 'of', 'the', 'West', 'Indies', ',', 'the', 'government', 'spokesman', 'described', 'a', 'very', 'difficult', 'situation', ',', 'in', 'which', 'we', 'deployed', 'the', 'military', 'health', 'service', 'to', 'provide', 'the', 'best', 'possible', 'care', 'for', 'patients', 'in', 'hospital', '.']"
4186,"By early August , 95 100 Cuban miners had contracted Covid and seven died .","['By', 'early', 'August', ',', '95', '100', 'Cuban', 'miners', 'had', 'contracted', 'Covid', 'and', 'seven', 'died', '.']"
4187,"Nationwide , South Korea added 1,892 new infections Friday , bringing the total caseload to 269,362 .","['Nationwide', ',', 'South', 'Korea', 'added', '1,892', 'new', 'infections', 'Friday', ',', 'bringing', 'the', 'total', 'caseload', 'to', '269,362', '.']"
4188,"On Thursday , there were 3700 doses of vaccine administered , including 822 first doses and 2878 second doses .","['On', 'Thursday', ',', 'there', 'were', '3700', 'doses', 'of', 'vaccine', 'administered', ',', 'including', '822', 'first', 'doses', 'and', '2878', 'second', 'doses', '.']"
4189,"This new challenge for the Board comes on a day when , according to data from the Ministry of Health shared by Bendodo , 89,5 of those over the age of 12 have received the first dose while 84 % already have the complete pattern .","['This', 'new', 'challenge', 'for', 'the', 'Board', 'comes', 'on', 'a', 'day', 'when', ',', 'according', 'to', 'data', 'from', 'the', 'Ministry', 'of', 'Health', 'shared', 'by', 'Bendodo', ',', '89,5', 'of', 'those', 'over', 'the', 'age', 'of', '12', 'have', 'received', 'the', 'first', 'dose', 'while', '84', '%', 'already', 'have', 'the', 'complete', 'pattern', '.']"
4190,"Recently , Libya is experiencing an increase in rates of coronavirus infections , with a total of 217 434 cases of virus , including 3 253 deaths , and 182 785 cases of remission , until last Thursday evening .","['Recently', ',', 'Libya', 'is', 'experiencing', 'an', 'increase', 'in', 'rates', 'of', 'coronavirus', 'infections', ',', 'with', 'a', 'total', 'of', '217', '434', 'cases', 'of', 'virus', ',', 'including', '3', '253', 'deaths', ',', 'and', '182', '785', 'cases', 'of', 'remission', ',', 'until', 'last', 'Thursday', 'evening', '.']"
4191,"The vaccination campaign that began on Monday , August 16 , comes after the country registered its first known case of the disease since 1994 . According to Ministry of Health officials , relatives of the first case that was detected , as well as health workers , will be vaccinated on Monday afternoon .","['The', 'vaccination', 'campaign', 'that', 'began', 'on', 'Monday', ',', 'August', '16', ',', 'comes', 'after', 'the', 'country', 'registered', 'its', 'first', 'known', 'case', 'of', 'the', 'disease', 'since', '1994', '.', 'According', 'to', 'Ministry', 'of', 'Health', 'officials', ',', 'relatives', 'of', 'the', 'first', 'case', 'that', 'was', 'detected', ',', 'as', 'well', 'as', 'health', 'workers', ',', 'will', 'be', 'vaccinated', 'on', 'Monday', 'afternoon', '.']"
